8h 9h 4d As 8d Qc 4s, 8h 9h 4d As 8d 9d Ts, [Kh 5h 9d 8s Kd Ac 9s], [Kh 5h 9d 8s Kd 5d Qs]
2d 4s 8h Qc 4h Jc Ah, 2d 4s 8h Qc 4h 7s Ac, [6d 9s Kh Ac 9h Tc 8h], [6d 9s Kh Ac 9h 2s 8c]
5c 3s Qd 9c 7c Qh 8d, 5c 3s Qd 9c 7c 7h Ac, [4c 7s Ad 5c 2c Ah Kd], [4c 7s Ad 5c 2c 2h 8c]
2c Ac 9d 6d 8c 2d 5s, 2c Ac 9d 6d 8c Qc Td, [6c 8c 5d 3d Kc 6d 4s], [6c 8c 5d 3d Kc Ac Qd]
6c 3c Jc 4h Ac Tc 9d, 6c 3c Jc 4h Ac 5h 6h, [3c 7c Tc 9h 8c Qc 5d], [3c 7c Tc 9h 8c 4h 3h]
5c 6h 3d 8d Ad Qc 2c, 5c 6h 3d 8d Ad Ts Jh, [4c 3h 7d Kd 8d Ac 6c], [4c 3h 7d Kd 8d Qs Th]
6h 5s 7s 3d 4h 4c Th, 6h 5s 7s 3d 4h 3c As, [3h 4s 2s 7d 9h 9c Qh], [3h 4s 2s 7d 9h 7c 8s]
6h 2c Kh Qh Kc Js 8s, 6h 2c Kh Qh Kc 9s Tc, [3h 6c Jh Ah Jc Ts Ks], [3h 6c Jh Ah Jc 5s Qc]
7c Jc 8h Qc 2d 4d 8d, 7c Jc 8h Qc 2d 5d Ad, [2c Tc Kh Ac 6d 9d Kd], [2c Tc Kh Ac 6d 4d 8d]
9s 9d 4h 2s 8d 6c Jh, 9s 9d 4h 2s 8d 3h 7s, [5s 5d 9h 6s Kd 3c Th], [5s 5d 9h 6s Kd 7h 2s]
4d 9s 4s Jd Td Jc Qh, 4d 9s 4s Jd Td 2h 5d, [9d 5s 9s Td Qd Tc Ah], [9d 5s 9s Td Qd 6h 4d]
5d 2c 9d 8d Ah Ks 8s, 5d 2c 9d 8d Ah 7d Kh, [4d 6c 5d Kd 8h Js Ks], [4d 6c 5d Kd 8h 2d Jh]
Qd Qs 5d Td Ks Jd 8c, Qd Qs 5d Td Ks 4c 9c, [Ad As 4d Qd Js Td Kc], [Ad As 4d Qd Js 9c 5c]
